episode,steps,X,Y,progress,reward,calculated_reward,all_wheels_on_track,episode_status
160,23.0,4.915662461666698,0.6072026404181494,10.47988852850296,1.0,0.001,True,in_progress
160,24.0,5.014955111506515,0.6226863146895959,11.040620399325674,1.0,0.001,True,in_progress
160,25.0,5.127695614544336,0.6302228093915053,11.67725790957504,1.0,0.001,True,in_progress
160,26.0,5.2470176996715,0.6425229180586308,12.351081544379076,1.0,0.001,True,in_progress
160,27.0,5.367069164228565,0.6560003050434963,13.028987288649496,1.0,0.001,True,in_progress
160,28.0,5.501198214720078,0.6720975407010192,13.78635809277766,1.0,0.001,True,in_progress
160,29.0,5.625071161396273,0.6897085442964618,14.485934051035942,1.0,0.001,True,in_progress
160,30.0,5.752438310675619,0.709251910876237,15.205114476914416,1.0,0.001,True,in_progress
160,31.0,5.8654723664762045,0.721750277475243,15.84245620633759,1.0,0.001,True,in_progress
160,32.0,5.976587879711227,0.7315036257508556,16.468618548386544,1.0,0.001,True,in_progress
160,33.0,6.091347958085678,0.7538257283430623,17.129207654650134,1.0,0.001,True,in_progress
160,34.0,6.227665822511212,0.7707694430067432,17.927977835166605,1.0,0.001,True,in_progress
160,35.0,6.371438300991886,0.7908058588565141,18.77339399581924,1.0,1.0,True,in_progress
160,36.0,6.49080304487232,0.8210535742977911,19.58025358553884,1.0,1.0,True,in_progress
160,37.0,6.610840443504918,0.8643735470621177,20.39807249891121,1.0,1.0,True,in_progress
160,38.0,6.712948306180039,0.9138515041489008,21.03776074253667,1.0,1.0,True,in_progress
160,39.0,6.78866303402177,0.956914569675988,21.578236573095342,1.0,1.0,True,in_progress
160,40.0,6.858719462122673,1.0099431505762664,22.13820885085737,1.0,1.0,True,in_progress
160,41.0,6.9253229403643255,1.0738914490688634,22.659245759355,1.0,1.0,True,in_progress
160,42.0,6.972737222791622,1.128602631916198,23.174933586875397,1.0,1.0,True,in_progress
160,43.0,7.016640256104087,1.189635946066227,23.599416747741632,1.0,1.0,True,in_progress
160,44.0,7.0532462038613515,1.263825835767041,24.13651090792859,1.0,1.0,True,in_progress
160,45.0,7.079417420086228,1.346297194091952,24.689202913683697,1.0,1.0,True,in_progress
160,46.0,7.095225672133312,1.43356649675123,25.178701604320757,1.0,1.0,True,in_progress
160,47.0,7.100410254512154,1.5261018327980955,25.77741631827162,1.0,1.0,True,in_progress
160,48.0,7.101321060152868,1.631673825630821,26.55532420026204,1.0,1.0,True,in_progress
160,49.0,7.089696457103855,1.7384743862398164,27.36501468709663,1.0,1.0,True,in_progress
160,50.0,7.0764049679199745,1.8268246412339584,27.869312200816022,1.0,1.0,True,in_progress
160,51.0,7.064679459865428,1.9284956256832264,28.545177116639696,1.0,1.0,True,in_progress
160,52.0,7.052149486872415,2.0365655845304644,29.270358776397075,1.0,1.0,True,in_progress
160,53.0,7.055338436995583,2.1612176562281036,30.030704832196623,1.0,1.0,True,in_progress
160,54.0,7.061315842888643,2.259986332967035,30.561826190047057,1.0,1.0,True,in_progress
160,55.0,7.061206710970963,2.3705959779886356,31.059264451940575,1.0,0.001,True,in_progress
160,56.0,7.054919279820767,2.450348677438987,31.39967056731218,1.0,0.001,True,in_progress
160,57.0,7.045914294670847,2.5251831505978792,31.73505403453957,1.0,0.001,True,in_progress
160,58.0,7.024850618773068,2.604637935969695,32.136964310422755,1.0,0.001,True,in_progress
160,59.0,6.990421807362322,2.69297750844141,32.4933849973559,1.0,0.001,True,in_progress
160,60.0,6.951252575616364,2.761157425305825,32.90384074427284,1.0,0.001,True,in_progress
160,61.0,6.894786714912989,2.8379234615522457,33.209821134514655,1.0,0.001,True,in_progress
160,62.0,6.845584311289312,2.8917814507066755,33.60035635551888,1.0,0.001,True,in_progress
160,63.0,6.785202139809126,2.952664703903781,33.8938932043945,1.0,0.001,True,in_progress
160,64.0,6.7253560749096115,3.0132025877954045,34.2441700369229,0.001,0.001,True,in_progress
160,65.0,6.664568886955327,3.0777116979565387,34.69257222411646,0.001,0.001,False,in_progress
160,66.0,6.599410085197725,3.149305572319377,34.814635508459816,0.001,0.001,False,in_progress
160,67.0,6.516755738514218,3.239687097223492,35.374518193336684,0.001,0.001,False,in_progress
160,68.0,6.444498419883356,3.3313988884348316,35.58281006857458,0.001,0.001,False,in_progress
