iteration,episode,step,waypoint,is_left_of_center,original_reward,calculated_reward,progress,all_wheels_on_track,reward_zone
8,162,28.0,30,True,1.0,1.0,15.100001402838034,True,left_reward_zone
8,162,29.0,30,True,1.0,1.0,15.73547451701108,True,left_reward_zone
8,162,30.0,31,True,1.0,1.0,16.345430228942124,True,left_reward_zone
8,162,31.0,32,True,1.0,1.0,16.876542008345076,True,left_reward_zone
8,162,32.0,32,True,1.0,1.0,17.51683416748511,True,left_reward_zone
8,162,33.0,33,True,1.0,1.0,18.1302017591756,True,left_reward_zone
8,162,34.0,34,True,1.0,1.0,18.69449925989963,True,left_reward_zone
8,162,35.0,35,True,1.0,1.0,19.277132474275778,True,left_reward_zone
8,162,36.0,35,True,1.0,1.0,19.964179703394972,True,left_reward_zone
8,162,37.0,36,True,1.0,1.0,20.658687855962363,True,left_reward_zone
8,162,38.0,37,True,1.0,1.0,21.254920873031544,True,left_reward_zone
8,162,39.0,38,True,1.0,1.0,22.117377758656644,True,left_reward_zone
8,162,40.0,39,True,1.0,1.0,22.871956203315985,True,left_reward_zone
8,162,41.0,40,True,1.0,0.001,23.62875162226637,True,no_reward_zone
8,162,42.0,41,True,1.0,0.001,24.33816085773149,True,no_reward_zone
8,162,43.0,41,True,1.0,0.001,25.078738679195254,True,no_reward_zone
8,162,44.0,42,True,1.0,0.001,25.76186992295553,True,no_reward_zone
8,162,45.0,43,True,1.0,0.001,26.27484131730663,True,no_reward_zone
8,162,46.0,44,True,1.0,0.001,26.942100122394773,True,no_reward_zone
8,162,47.0,44,True,1.0,0.001,27.61395015357565,True,no_reward_zone
8,162,48.0,45,True,1.0,0.001,28.275615527453336,True,no_reward_zone
8,162,49.0,46,True,1.0,0.001,28.890848185613493,True,no_reward_zone
8,162,50.0,47,True,1.0,0.001,29.465388520989787,True,no_reward_zone
8,162,51.0,47,True,1.0,0.001,30.08915430211211,True,no_reward_zone
8,162,52.0,48,True,1.0,0.001,30.882808426512764,True,right_reward_zone
8,162,53.0,49,True,1.0,0.001,31.49769561735428,True,right_reward_zone
8,162,54.0,50,True,1.0,0.001,32.175139837247755,True,right_reward_zone
8,162,55.0,51,True,1.0,0.001,32.88738964517341,True,right_reward_zone
8,162,56.0,51,True,1.0,0.001,33.56524479752452,True,right_reward_zone
8,162,57.0,52,True,1.0,0.001,34.108286071355224,True,right_reward_zone
8,162,58.0,53,True,1.0,0.001,34.61062024486217,True,right_reward_zone
8,162,59.0,53,True,1.0,0.001,35.222436698092785,True,right_reward_zone
8,162,60.0,54,True,1.0,0.001,35.6824508684754,True,right_reward_zone
8,162,61.0,55,True,1.0,0.001,36.25995989539783,True,right_reward_zone
8,162,62.0,55,True,1.0,0.001,36.77165382933855,True,right_reward_zone
8,162,63.0,56,True,1.0,0.001,37.23886554342304,True,no_reward_zone
8,162,64.0,56,True,1.0,0.001,37.77484658122523,True,no_reward_zone
8,162,65.0,57,True,1.0,0.001,38.30071418178126,True,no_reward_zone
8,162,66.0,58,True,1.0,0.001,38.85783489594859,True,no_reward_zone
8,162,67.0,58,True,1.0,0.001,39.40467913959399,True,no_reward_zone
8,162,68.0,59,True,1.0,0.001,39.921668343560256,True,no_reward_zone
8,162,69.0,60,True,1.0,0.001,40.43923358007103,True,no_reward_zone
8,162,70.0,60,True,1.0,0.001,40.90595016054206,True,no_reward_zone
8,162,71.0,61,True,1.0,0.001,41.37807535145769,True,no_reward_zone
8,162,72.0,61,True,1.0,0.001,41.83087546521662,True,no_reward_zone
8,162,73.0,62,True,1.0,0.001,42.36018983391533,True,no_reward_zone
8,162,74.0,62,True,1.0,0.001,42.91691045104082,True,no_reward_zone
8,162,75.0,63,True,1.0,0.001,43.588987360613494,True,no_reward_zone
8,162,76.0,64,True,1.0,0.001,44.23975851977021,True,no_reward_zone
8,162,77.0,65,True,1.0,0.001,44.931405088647594,True,no_reward_zone
8,162,78.0,66,True,1.0,0.001,45.57182963031673,True,no_reward_zone
8,162,79.0,66,True,1.0,0.001,46.157877587622885,True,no_reward_zone
8,162,80.0,67,True,1.0,0.001,46.84300379596371,True,no_reward_zone
8,162,81.0,68,True,1.0,0.001,47.446115565148475,True,no_reward_zone
8,162,82.0,69,True,1.0,0.001,48.05150922216982,True,no_reward_zone
8,162,83.0,69,True,1.0,0.001,48.74647561263655,True,no_reward_zone
8,162,84.0,70,True,1.0,0.001,49.35619807178565,True,no_reward_zone
8,162,85.0,71,True,1.0,0.001,50.05512297952407,True,no_reward_zone
8,162,86.0,72,True,1.0,0.001,50.68368528737093,True,no_reward_zone
8,162,87.0,73,True,1.0,0.001,51.33186175938606,True,no_reward_zone
8,162,88.0,73,True,1.0,0.001,52.00719355172696,True,no_reward_zone
8,162,89.0,74,True,1.0,0.001,52.66040659978971,True,no_reward_zone
8,162,90.0,75,True,1.0,0.001,53.31077137762919,True,no_reward_zone
8,162,91.0,75,True,1.0,0.001,53.90051719469611,True,no_reward_zone
8,162,92.0,76,True,1.0,1.0,54.4956511595655,True,left_reward_zone
8,162,93.0,77,True,1.0,1.0,55.03118876553864,True,left_reward_zone
8,162,94.0,77,True,1.0,1.0,55.54054436379901,True,left_reward_zone
8,162,95.0,78,True,1.0,1.0,56.0518935817352,True,left_reward_zone
8,162,96.0,79,True,1.0,1.0,56.53099245151515,True,left_reward_zone
8,162,97.0,79,True,1.0,1.0,56.99425338385284,True,left_reward_zone
8,162,98.0,80,True,1.0,1.0,57.53734844660167,True,left_reward_zone
8,162,99.0,80,True,1.0,1.0,58.04304237208795,True,left_reward_zone
8,162,100.0,81,True,1.0,1.0,58.51291578699199,True,left_reward_zone
8,162,101.0,82,True,1.0,1.0,59.26058093282096,True,left_reward_zone
8,162,102.0,83,True,1.0,1.0,60.01678772594114,True,left_reward_zone
8,162,103.0,84,True,1.0,1.0,60.76148128671456,True,left_reward_zone
8,162,104.0,84,True,1.0,1.0,61.52473989478112,True,left_reward_zone
8,162,105.0,85,True,1.0,1.0,62.332070604877686,True,left_reward_zone
8,162,106.0,86,True,1.0,1.0,63.033106527464376,True,left_reward_zone
8,162,107.0,87,True,1.0,1.0,63.56572769324722,True,left_reward_zone
8,162,108.0,87,True,1.0,1.0,64.15390799219199,True,left_reward_zone
8,162,109.0,88,True,1.0,1.0,64.62295230254881,True,left_reward_zone
8,162,110.0,89,True,1.0,1.0,65.07977473159305,True,left_reward_zone
8,162,111.0,89,True,1.0,1.0,65.4519098183388,True,left_reward_zone
8,162,112.0,90,True,1.0,1.0,65.90395573464625,True,left_reward_zone
8,162,113.0,90,True,1.0,1.0,66.29097904556886,True,left_reward_zone
8,162,114.0,90,True,1.0,1.0,66.61507069082441,True,left_reward_zone
8,162,115.0,91,True,1.0,1.0,67.05021072651711,True,left_reward_zone
8,162,116.0,91,True,1.0,1.0,67.37914877990731,True,left_reward_zone
8,162,117.0,92,True,1.0,0.001,67.85027892824763,True,no_reward_zone
8,162,118.0,92,True,1.0,0.001,68.39997992878693,True,no_reward_zone
8,162,119.0,93,True,1.0,0.001,68.9790925001666,True,no_reward_zone
8,162,120.0,94,True,1.0,0.001,69.44708110887066,True,no_reward_zone
8,162,121.0,94,True,1.0,0.001,69.87428074097039,True,no_reward_zone
8,162,122.0,95,True,1.0,0.001,70.37600727832306,True,no_reward_zone
8,162,123.0,95,True,1.0,0.001,70.90276773116554,True,no_reward_zone
8,162,124.0,96,True,1.0,0.001,71.45517418816031,True,no_reward_zone
8,162,125.0,97,True,1.0,0.001,72.15028009559296,True,no_reward_zone
8,162,126.0,98,True,1.0,0.001,72.86874308754277,True,no_reward_zone
8,162,127.0,99,True,1.0,0.001,73.52936611693957,True,no_reward_zone
8,162,128.0,99,True,1.0,0.001,74.18963521933493,True,no_reward_zone
8,162,129.0,100,True,1.0,1.0,74.76266320498198,True,left_reward_zone
8,162,130.0,101,True,1.0,1.0,75.3733174024021,True,left_reward_zone
8,162,131.0,101,True,1.0,1.0,75.98244303119397,True,left_reward_zone
8,162,132.0,102,True,1.0,1.0,76.74857023668673,True,left_reward_zone
8,162,133.0,103,True,1.0,1.0,77.4549084792431,True,left_reward_zone
8,162,134.0,104,True,1.0,1.0,78.0623947257858,True,left_reward_zone
8,162,135.0,105,True,1.0,1.0,78.70548869867758,True,left_reward_zone
8,162,136.0,106,True,1.0,1.0,79.44764940042386,True,left_reward_zone
8,162,137.0,106,True,1.0,1.0,80.09954215222118,True,left_reward_zone
8,162,138.0,107,True,1.0,1.0,80.8251139430276,True,left_reward_zone
8,162,139.0,108,True,1.0,1.0,81.33008296163707,True,left_reward_zone
8,162,140.0,108,True,1.0,1.0,81.79737081160718,True,left_reward_zone
8,162,141.0,109,False,1.0,0.001,82.30100289031125,True,left_reward_zone
8,162,142.0,109,False,1.0,0.001,82.67570229817355,True,left_reward_zone
8,162,143.0,110,False,1.0,0.001,83.20345867109023,True,left_reward_zone
8,162,144.0,110,False,0.001,0.001,83.59901604789106,True,left_reward_zone
8,162,145.0,111,False,0.001,0.001,84.05800654130881,False,left_reward_zone
8,162,146.0,111,False,0.001,0.001,84.41148087629465,False,left_reward_zone
8,162,147.0,112,False,0.001,0.001,84.92305225946151,False,no_reward_zone
8,162,148.0,112,False,0.001,0.001,85.31007602297296,False,no_reward_zone
8,163,1.0,19,True,0.0,0.001,0.791284880727397,True,no_reward_zone
8,163,2.0,19,True,1.0,0.001,0.7951805274753448,True,no_reward_zone
8,163,3.0,19,True,1.0,0.001,0.8441607487859076,True,no_reward_zone
8,163,4.0,19,True,1.0,0.001,0.9760345734516728,True,no_reward_zone
8,163,5.0,19,True,1.0,0.001,1.1893727533853926,True,no_reward_zone
